budget,log_budget,is_low_budget,is_mid_budget,is_blockbuster_budget,runtime,num_genres,num_production_companies,num_cast,num_keywords,is_franchise,release_year,release_month,release_dayofweek,release_quarter,is_weekend_release,is_summer_release,is_holiday_release,days_since_2000,director_popularity,actor_1_popularity,actor_2_popularity,actor_3_popularity,avg_actor_popularity,max_actor_popularity,total_star_power,has_popular_director,has_popular_lead,has_major_studio,is_disney,is_warner,is_universal,director_historical_avg_log_revenue,director_prior_films,is_director_debut,lead_actor_historical_avg_log_revenue,lead_actor_prior_films,movies_same_month,blockbusters_same_month,title_length,title_word_count,title_suggests_sequel,cert_g,cert_pg,cert_pg13,cert_r,is_family_friendly_cert,is_r_rated,num_trailers,num_teasers,has_trailer,has_multiple_trailers,has_teaser,days_trailer_before_release,early_marketing,late_marketing,social_media_presence,has_strong_social,has_tagline,tagline_length,has_homepage,overview_length,num_release_countries,wide_release,num_production_countries,is_us_production,num_spoken_languages,is_english,num_writers,num_producers,num_exec_producers,writer_popularity,producer_popularity,composer_popularity,cinematographer_popularity,total_crew_popularity,has_popular_composer,production_team_size,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_science_fiction,genre_thriller,genre_war,genre_western,keyword_superhero,keyword_sequel_keyword,keyword_family_friendly,keyword_action_heavy,keyword_romance,keyword_scifi,keyword_horror_keyword
2777000,14.8368821263897,1,0,0,102,3,1,27,28,0,1939,8,1,3,0,1,0,-22054,1.2013,2.1712,0.8141,1.3153,1.433533333333333,2.1712,5.501899999999999,0,0,0,0,0,0,0.0,0,1,0.0,0,1,0,16,4,0,1,0,0,0,1,0,2,8,1,1,1,-25567.0,0,1,0,0,1,56,1,307,52,1,1,1,1,1,6,2,0,0.7632,1.2013,0.0725,1.0137,3.0507,0,8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4000000,15.201805169084134,1,0,0,233,3,2,136,25,0,1939,12,4,4,1,0,1,-21932,1.2013,1.5597,1.5021,1.0603,1.3740333333333332,1.5597,5.3233999999999995,0,0,0,0,0,0,17.334638164449956,1,0,0.0,0,1,0,18,4,0,1,0,0,0,1,0,4,3,1,1,1,-26914.0,0,1,0,0,1,33,0,159,42,1,1,1,1,1,2,1,0,0.266,0.1641,0.2292,0.3107,0.97,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0
630000,13.353476685668044,1,0,0,96,3,1,66,21,0,1947,6,2,2,0,1,0,-19204,0.3893,2.8126,3.5199,3.3536,3.2287,3.5199,10.0754,0,0,1,0,0,0,0.0,0,1,0.0,0,1,0,22,4,0,0,0,0,0,0,0,1,0,1,0,0,-24676.0,0,1,0,0,1,59,0,282,17,0,1,1,1,1,2,1,0,0.7749,0.1126,0.1733,0.2201,1.2809,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8200000,15.919644834185693,1,0,0,174,4,3,30,24,0,1965,3,0,1,0,0,0,-12696,0.6601,3.9396,3.4896,2.0967,3.1753,3.9396,10.186,0,0,1,0,0,0,0.0,0,1,0.0,0,1,0,18,4,0,1,0,0,0,1,0,4,4,1,1,1,-18161.0,0,1,0,0,1,36,0,215,45,1,1,1,2,1,7,1,2,2.1181,0.6601,0.3446,0.1111,3.2338999999999998,0,10,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9000000,16.012735246411598,1,0,0,130,3,1,35,17,1,1965,12,5,4,1,0,1,-12439,1.0198,2.5818,1.5891,1.2764,1.8157666666666665,2.5818,6.467099999999999,0,0,0,0,0,0,0.0,0,1,0.0,0,1,0,11,1,0,0,1,0,0,1,0,2,1,1,1,1,-17040.0,0,1,0,0,1,65,1,249,22,1,1,0,2,1,6,1,2,1.1713,0.1733,0.3207,1.1252,2.7904999999999998,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
12000000,16.300417291085605,1,0,0,149,3,2,62,20,1,1968,4,1,2,0,0,0,-11596,2.3197,0.9557,0.6901,0.924,0.8565999999999999,0.9557,4.889500000000001,0,0,0,0,0,0,0.0,0,1,0.0,0,1,0,21,4,0,1,0,0,0,1,0,3,0,1,1,0,-18257.0,0,1,1,0,1,43,1,169,48,1,2,1,2,1,2,2,0,2.3197,2.3197,0.0,0.1855,4.8249,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
4000000,15.201805169084134,1,0,0,78,4,1,25,13,0,1970,12,3,4,0,0,1,-10600,0.2751,0.6158,1.154,2.3528,1.3742,2.3528,4.3977,0,0,1,1,0,0,0.0,0,1,0.0,0,1,0,14,2,0,1,0,0,0,1,0,6,0,1,1,0,-18692.0,0,1,0,0,1,36,0,326,30,1,1,1,1,1,7,2,0,1.8679,0.3346,0.086,0.1892,2.4776999999999996,0,9,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6000000,15.607270193858982,1,0,0,175,2,2,59,26,1,1972,3,1,1,0,0,0,-10154,1.7705,2.481,5.2563,5.1879,4.3084,5.2563,14.695699999999999,0,0,1,0,0,0,0.0,0,1,0.0,0,1,0,13,2,0,0,0,0,1,0,1,2,1,1,1,1,-14623.0,0,1,3,1,1,26,1,307,33,1,1,1,3,1,3,3,0,1.7705,1.7705,0.2203,0.3049,4.0662,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2000000,14.508658238524095,1,0,0,109,3,2,22,13,0,1972,8,4,3,1,1,0,-9997,0.5751,3.3082,3.1038,1.1915,2.5345,3.3082,8.1786,0,0,1,0,1,0,0.0,0,1,0.0,0,1,0,11,1,0,0,0,0,0,0,0,1,0,1,0,0,-15695.0,0,1,1,0,1,42,1,213,29,1,1,1,1,1,2,1,0,0.2023,0.5751,0.0,0.3533,1.1307,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
850000,13.652992804936396,1,0,0,102,1,4,32,13,0,1973,8,4,3,1,1,0,-9633,0.5739,1.6019,1.6111,0.9101,1.3743666666666667,1.6111,4.697,0,0,1,0,1,0,0.0,0,1,0.0,0,1,0,16,3,0,0,0,0,1,0,1,4,1,1,1,1,-14771.0,0,1,0,0,1,59,0,109,24,1,2,1,2,1,1,3,0,0.196,1.6019,0.2306,0.2132,2.2417000000000002,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12000000,16.300417291085605,1,0,0,122,1,2,43,30,1,1973,12,2,4,0,0,1,-9502,1.6869,3.2005,2.7243,0.5408,2.1552,3.2005,8.1525,0,0,1,0,1,0,0.0,0,1,0.0,0,1,0,12,2,0,0,0,0,0,0,0,4,0,1,1,0,-14804.0,0,1,1,0,1,162,1,116,45,1,1,1,6,1,2,1,1,2.0664,2.0664,0.1704,0.2073,4.5104999999999995,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000000,16.380459992348886,1,0,0,202,2,2,85,25,1,1974,12,4,4,1,0,1,-9143,1.7705,5.2563,4.1171,4.0082,4.460533333333333,5.2563,15.1521,0,0,1,0,0,0,19.31703980116409,1,0,0.0,0,1,0,21,4,1,0,0,0,1,0,1,2,0,1,1,0,-13678.0,0,1,3,1,1,41,0,222,26,1,1,1,4,1,3,1,0,1.7705,1.7705,0.2203,0.3049,4.0662,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7000000,15.76142084987672,1,0,0,124,3,2,41,28,1,1975,6,4,2,1,1,0,-8961,6.7303,2.199,2.1927,3.0561,2.4826,3.0561,14.1781,0,0,1,0,0,1,0.0,0,1,0.0,0,1,0,4,1,0,0,0,0,0,0,0,8,4,1,1,1,-13444.0,0,1,1,0,1,68,1,248,46,1,1,1,1,1,3,2,0,0.7212,0.2042,1.3507,0.2925,2.5686,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
11000000,16.213405921671733,1,0,0,121,3,2,104,19,1,1977,5,2,2,0,1,0,-8256,1.974,4.7644,6.0859,2.4697,4.44,6.0859,15.294,0,0,1,1,0,0,0.0,0,1,0.0,0,1,0,9,2,0,0,1,0,0,1,0,2,2,1,1,1,-12825.0,0,1,3,1,1,44,1,312,58,1,1,1,1,1,1,1,1,1.974,0.5736,1.3507,3.6812,7.5794999999999995,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6000000,15.607270193858982,1,0,0,110,2,3,48,37,1,1978,6,4,2,1,1,0,-7869,0.5384,1.3323,4.963,1.7831,2.6928,4.963,8.6168,0,0,1,0,0,0,0.0,0,1,0.0,0,1,0,6,1,0,0,1,0,0,1,0,2,2,1,1,1,-12357.0,0,1,3,1,1,19,0,224,28,1,2,1,1,1,4,2,1,1.2852,0.2085,0.0979,0.2925,1.8840999999999999,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18000000,16.705882371415992,0,1,0,124,3,1,80,13,1,1980,5,1,2,0,1,0,-7165,0.7667,4.7644,6.0859,2.4697,4.44,6.0859,14.0867,0,0,1,1,0,0,0.0,0,1,20.468887014201155,1,2,0,23,4,0,0,1,0,0,1,0,3,4,1,1,1,-11673.0,0,1,3,1,1,29,1,362,28,1,1,1,1,1,3,2,1,1.974,0.5736,1.3507,0.2578,4.1560999999999995,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
19000000,16.759949589762293,0,1,0,144,2,4,29,50,1,1980,5,4,2,1,1,0,-7162,2.3197,3.7923,2.5271,2.0587,2.7927,3.7923,10.697799999999999,0,0,1,0,1,0,18.091114460250058,1,0,0.0,0,2,0,11,2,0,0,0,0,1,0,1,3,0,1,1,0,-11642.0,0,1,1,0,1,31,1,239,52,1,2,1,1,1,3,1,1,2.3197,2.3197,0.4452,0.4557,5.5403,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2800000,14.845130332288226,1,0,0,87,2,2,12,13,0,1981,5,4,2,1,1,0,-6819,0.4543,2.8937,0.9051,1.279,1.6925999999999999,2.8937,5.5321,0,0,0,0,0,0,0.0,0,1,0.0,0,1,0,15,2,0,0,0,0,1,0,1,3,0,1,1,0,-10936.0,0,1,0,0,1,76,0,487,7,0,1,1,1,1,2,1,0,0.1464,0.1196,0.0,1.6724,1.9384000000000001,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18000000,16.705882371415992,0,1,0,115,2,2,49,27,1,1981,6,4,2,1,1,0,-6777,6.7303,6.0859,6.2341,2.0976,4.805866666666667,6.2341,21.1479,0,0,1,1,0,0,19.96963165222529,1,0,0.0,0,2,0,23,5,0,0,0,0,0,0,0,2,2,1,1,1,-13205.0,0,1,0,0,1,34,1,227,45,1,1,1,6,1,3,1,2,1.974,0.8575,1.3507,1.0744,5.2566,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14000000,16.454567959008102,1,0,0,97,5,2,27,8,0,1981,6,4,2,1,1,0,-6763,0.5897,0.5897,2.102,0.4243,1.0386666666666666,2.102,3.7056999999999998,0,0,0,0,0,0,0.0,0,1,0.0,0,2,0,22,4,0,1,0,0,0,1,0,2,0,1,1,0,-11216.0,0,1,0,0,1,82,1,350,8,0,2,1,1,1,5,2,1,0.5897,2.102,0.0544,0.2703,3.0164,0,8,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10500000,16.166885910365842,1,0,0,115,4,2,37,18,0,1982,6,4,2,1,1,0,-6413,6.7303,2.8544,5.1205,1.1472,3.0406999999999997,5.1205,15.8524,0,0,1,0,0,1,19.879968764556587,2,0,0.0,0,1,0,26,3,0,0,1,0,0,1,0,7,0,1,1,0,-11081.0,0,1,0,0,1,73,1,301,86,1,1,1,1,1,1,2,0,0.5297,6.7303,1.3507,0.1422,8.7529,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
32350000,17.292124609823084,0,1,0,132,3,1,177,13,1,1983,5,2,2,0,1,0,-6065,1.1541,4.7644,6.0859,2.4697,4.44,6.0859,14.4741,0,0,1,1,0,0,0.0,0,1,20.30304084241019,2,1,0,18,4,0,0,1,0,0,1,0,4,0,1,1,0,-10634.0,0,1,3,1,1,32,1,197,36,1,1,1,1,1,3,1,1,1.974,0.1129,1.3507,0.1682,3.6058,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
15000000,16.52356082573315,0,1,0,116,1,2,97,29,0,1983,6,1,2,0,1,0,-6052,1.7435,2.9332,4.5128,1.5624,3.0028,4.5128,10.751900000000001,0,0,1,0,0,0,0.0,0,1,0.0,0,1,0,14,2,0,0,0,0,1,0,1,2,0,1,1,0,-10462.0,0,1,0,0,1,54,1,124,31,1,1,1,1,1,2,3,1,1.3408,0.7947,1.3453,2.014,5.4948,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25000000,17.034386422832473,0,1,0,170,3,2,103,19,0,1983,12,4,4,1,0,1,-5867,1.2432,5.2563,3.2376,5.4012,4.6316999999999995,5.4012,15.138300000000001,0,0,1,0,0,1,0.0,0,1,18.44634850044753,1,1,0,8,1,0,0,0,0,1,0,1,4,6,1,1,1,-9795.0,0,1,0,0,1,46,1,469,23,1,1,1,2,1,5,1,1,1.88,0.2301,0.281,1.0774,3.4685,0,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11000000,16.213405921671733,1,0,0,106,3,2,51,25,1,1984,6,4,2,1,1,0,-5685,1.0337,1.5076,5.9844,0.6835,2.7251666666666665,5.9844,9.209200000000001,0,0,1,0,1,1,0.0,0,1,0.0,0,1,0,8,1,0,0,1,0,0,1,0,4,2,1,1,1,-12622.0,0,1,1,0,1,50,0,217,36,1,1,1,2,1,1,1,3,4.7149,0.2057,0.0256,0.2646,5.2108,0,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
6400000,15.671808704579888,1,0,0,108,3,2,48,22,1,1984,10,4,4,1,0,0,-5545,7.7821,3.8743,1.7558,9.6553,5.095133333333333,9.6553,23.067500000000003,0,0,0,0,0,0,0.0,0,1,0.0,0,1,0,14,2,0,0,0,0,1,0,1,1,1,1,0,1,-11141.0,0,1,1,0,1,28,1,389,36,1,2,1,2,1,2,1,2,7.7821,2.7604,0.3844,1.279,12.2059,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
19000000,16.759949589762293,0,1,0,116,3,2,52,23,1,1985,7,2,3,0,1,0,-5295,1.9714,2.9823,3.2691,2.5824,2.9446,3.2691,10.8052,0,0,1,0,0,1,0.0,0,1,0.0,0,1,0,18,4,0,0,1,0,0,1,0,7,0,1,1,0,-9221.0,0,1,3,1,1,121,1,327,36,1,1,1,1,1,2,2,3,1.9714,0.6977,0.9695,0.3489,3.9875000000000003,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
25000000,17.034386422832473,0,1,0,119,3,2,61,11,0,1987,6,2,2,0,1,0,-4595,1.2432,7.3666,2.5818,7.8779,5.9421,7.8779,19.069499999999998,0,0,1,0,0,0,18.005518722378135,1,0,0.0,0,2,0,16,2,0,0,0,0,0,0,0,1,0,1,0,0,-9990.0,0,1,0,0,1,28,0,169,42,1,1,1,1,1,4,1,0,1.0499,0.307,0.4361,2.1328,3.9257999999999997,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15000000,16.52356082573315,0,1,0,107,4,6,17,13,1,1987,6,4,2,1,1,0,-4586,1.9722,3.8743,1.313,1.1933,2.1268666666666665,3.8743,8.3528,0,0,1,0,0,0,0.0,0,1,18.176967083653235,1,2,0,8,1,0,0,0,0,1,0,1,3,0,1,1,0,-9876.0,0,1,0,0,1,25,1,137,34,1,1,1,2,1,3,3,2,0.9147,2.1221,0.9695,3.0247,7.031,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
1100000,13.910821646859095,1,0,0,85,4,1,54,7,1,1988,5,4,2,1,1,0,-4250,1.1298,0.7121,2.4921,1.7362,1.6468,2.4921,6.0702,0,0,0,0,0,0,0.0,0,1,0.0,0,1,0,10,2,0,0,0,0,1,0,1,1,1,1,0,1,-12604.0,0,1,0,0,1,47,0,102,5,0,1,1,1,1,1,1,1,0.3828,0.3828,0.1137,0.0387,0.9179999999999999,0,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
